




综合,#genre#
武林外传,http://120.77.28.4:8648/huya.php?id=21059598 
包青天（金超群版）,http://120.77.28.4:8648/yy.php?id=1356158015 
刑事侦缉档案,http://120.77.28.4:8648/huya.php?id=23734169 
芈月传,http://120.77.28.4:8648/huya.php?id=11352975 
一代枭雄,http://120.77.28.4:8648/huya.php?id=11342398 
如懿传,http://120.77.28.4:8648/huya.php?id=29465880 
新白娘子传奇,http://120.77.28.4:8648/yy.php?id=1354930969 
红楼梦,http://120.77.28.4:8648/yy.php?id=1382745084 
我爱我家,http://120.77.28.4:8648/yy.php?id=1382735557 
陀枪师姐,http://120.77.28.4:8648/huya.php?id=23860039 
问心,http://120.77.28.4:8648/huya.php?id=11352890
风云雄霸天下,http://120.77.28.4:8648/huya.php?id=21059612 
全职高手,http://120.77.28.4:8648/huya.php?id=11352901 
炊事班的故事3,http://120.77.28.4:8648/huya.php?id=19524135 
地下交通站,http://120.77.28.4:8648/huya.php?id=11342433 
医馆笑传,http://120.77.28.4:8648/huya.php?id=11352891 
杨光的快乐生活,http://120.77.28.4:8648/huya.php?id=11602085 
陈情令,http://120.77.28.4:8648/huya.php?id=29465862 
神医喜来乐,http://120.77.28.4:8648/huya.php?id=11601978 
邻里一家亲,http://120.77.28.4:8648/huya.php?id=11342426 
大宋提刑官,http://120.77.28.4:8648/huya.php?id=26355856 
鹊刀门传奇,http://120.77.28.4:8648/huya.php?id=29805872 
陈翔六点半,http://120.77.28.4:8648/huya.php?id=11274154 
神探狄仁杰1,http://120.77.28.4:8648/huya.php?id=29528581 
白鹿原,http://120.77.28.4:8648/huya.php?id=11342416 
长相思,http://120.77.28.4:8648/huya.php?id=11336593 
你是我的荣耀,http://120.77.28.4:8648/huya.php?id=11352920 
且试天下,http://120.77.28.4:8648/yy.php?id=29067083 
庆余年,http://120.77.28.4:8648/huya.php?id=11352960 
铁齿铜牙纪晓岚,http://120.77.28.4:8648/huya.php?id=11342396 
士兵突击,http://120.77.28.4:8648/huya.php?id=11342430 
我的团长我的团,http://120.77.28.4:8648/huya.php?id=11352910  
镖行天下,http://120.77.28.4:8648/huya.php?id=11352969 
雪中悍刀行,http://120.77.28.4:8648/huya.php?id=11336592 
寻秦记,http://120.77.28.4:8648/huya.php?id=23864973 
射雕英雄传83版,http://120.77.28.4:8648/yy.php?id=1354210357 
星汉灿烂·月生沧海,http://120.77.28.4:8648/huya.php?id=11336591 
将夜,http://120.77.28.4:8648/huya.php?id=11352885 
铁梨花,http://120.77.28.4:8648/huya.php?id=11352912 
天龙八部,http://120.77.28.4:8648/huya.php?id=23903123 
情满四合院,http://120.77.28.4:8648/yy.php?id=1382735541 
父母爱情,http://120.77.28.4:8648/huya.php?id=11602071 
大染坊,http://120.77.28.4:8648/huya.php?id=11602086 
康熙微服私访记,http://zby.xjqxz.top/kxwfxhj/live.m3u8
火蓝刀锋,http://120.77.28.4:8648/yy.php?id=1382737892 
盗墓笔记,http://120.77.28.4:8648/yy.php?id=1356373644 
短剧轮播,http://120.77.28.4:8648/yy.php?id=1382881708 
鹊刀门,http://120.77.28.4:8648/yy.php?id=1355344777 
打狗棍,http://120.77.28.4:8648/yy.php?id=39736069 
勇敢的心,http://120.77.28.4:8648/yy.php?id=1354744544 
宰相刘罗锅,http://120.77.28.4:8648/yy.php?id=1382745191
神医喜来乐,http://120.77.28.4:8648/yy.php?id=1382714119 
火凤凰,http://120.77.28.4:8648/yy.php?id=1463088777
新白娘子传奇,http://120.77.28.4:8648/yy.php?id=1354930969 
武林外传,http://120.77.28.4:8648/yy.php?id=1355652820 
天龙八部,http://120.77.28.4:8648/yy.php?id=1382736855 
83版射雕,http://120.77.28.4:8648/yy.php?id=1354210357 
老版封神榜,http://120.77.28.4:8648/yy.php?id=1353426319 
战狼2,http://120.77.28.4:8648/yy.php?id=1354784284 
鹿鼎记,http://120.77.28.4:8648/yy.php?id=28265277 
笑傲江湖,http://120.77.28.4:8648/yy.php?id=1354282410 
新三国,http://120.77.28.4:8648/yy.php?id=23512910 
老三国,http://120.77.28.4:8648/yy.php?id=1354930932 
老三国,http://120.77.28.4:8648/yy.php?id=1354936241 
铁齿铜牙纪晓岚,http://120.77.28.4:8648/yy.php?id=1354143978 
神雕侠侣,http://120.77.28.4:8648/yy.php?id=1382704651 
雪中悍刀行,http://120.77.28.4:8648/yy.php?id=1382660835 
隋唐英雄传,http://120.77.28.4:8648/yy.php?id=1352475619 
神探狄仁杰,http://120.77.28.4:8648/yy.php?id=1351755386 
雍正王朝,http://120.77.28.4:8648/yy.php?id=26650882 
西游记后传,http://120.77.28.4:8648/yy.php?id=1382736846 
西游记张卫健,http://120.77.28.4:8648/yy.php?id=1354936155 
正阳门下,http://120.77.28.4:8648/yy.php?id=1354931580 
红楼梦,http://120.77.28.4:8648/yy.php?id=1382745084 
传奇英雄,http://120.77.28.4:8648/yy.php?id=1382735578
短剧,#genre#

逆命神医(96集),https://vd3.bdstatic.com/mda-peds8afg0055s0nh/720p/h264/1684091269327297304/mda-peds8afg0055s0nh.mp4
满月之下请相爱(100集),https://vd3.bdstatic.com/mda-pedkenasrhs239n2/sc/cae_h264/1684169079399702313/mda-pedkenasrhs239n2.mp4
落在生命里的光(100集),https://vd3.bdstatic.com/mda-pedgk34za4i2wsk4/720p/h264/1684066802676530455/mda-pedgk34za4i2wsk4.mp4
老街中的痞子(79集),https://vd3.bdstatic.com/mda-pedd0pjr3d230d6a/sc/cae_h264/1684151422563021066/mda-pedd0pjr3d230d6a.mp4
绝世龙帅(100集),https://vd3.bdstatic.com/mda-pectb75a7wb5zsgu/720p/h264/1684008093774139159/mda-pectb75a7wb5zsgu.mp4
浪子情仇(81集),https://vd3.bdstatic.com/mda-pecpz9ti97u1z825/720p/h264/1683998885326452646/mda-pecpz9ti97u1z825.mp4
昆仑强者(80集),https://vd3.bdstatic.com/mda-peck0hfux97mrc79/720p/h264/1683988862148442153/mda-peck0hfux97mrc79.mp4
都市药王医仙（61集）,https://vd4.bdstatic.com/mda-pe9p7t88g3zwkn0w/sc/cae_h264/1683812630561498452/mda-pe9p7t88g3zwkn0w.mp4
功夫医圣（80集）,https://vd2.bdstatic.com/mda-pe9qn6dabh5ppc6w/720p/h264/1683740514742579726/mda-pe9qn6dabh5ppc6w.mp4
古董风云（50集）,https://vd2.bdstatic.com/mda-pe9r3itz1thdrm9i/sc/cae_h264/1683796097451505310/mda-pe9r3itz1thdrm9i.mp4
九境霸主（113集）,https://vd2.bdstatic.com/mda-peasdcyvjkdf5nn6/720p/h264/1683833678473112939/mda-peasdcyvjkdf5nn6.mp4
庄少得罪妻难逃,https://vd4.bdstatic.com/mda-pidasrh5mj9ikfaf/sc/cae_h264/1694741687600700555/mda-pidasrh5mj9ikfaf.mp4
公主大人请赎罪,https://vd4.bdstatic.com/mda-pidaps9q6cr1f6yj/sc/cae_h264/1694741205249538787/mda-pidaps9q6cr1f6yj.mp4
逆袭1990 , https://vd3.bdstatic.com/mda-pic27fqea6gxshu3/sc/cae_h264/1694576577838370273/mda-pic27fqea6gxshu3.mp4
总裁老公身边的真假千金, https://vd4.bdstatic.com/mda-piaru4rz4ea5d3jr/sc/cae_h264/1694527130409630365/mda-piaru4rz4ea5d3jr.mp4
豪门战尊,https://vd4.bdstatic.com/mda-pi947rkiaa76hy2m/sc/cae_h264/1694346919481540355/mda-pi947rkiaa76hy2m.mp4
易容总裁前妻后悔了,https://vd3.bdstatic.com/mda-pi8hhip3c0gwjs8v/sc/cae_h264/1694291223790904476/mda-pi8hhip3c0gwjs8v.mp4
顶级豪门太子爷,https://vd3.bdstatic.com/mda-pi8hhbg56uhtbkxt/sc/cae_h264/1694293569901543683/mda-pi8hhbg56uhtbkxt.mp4
我的老婆是特工,https://vd3.bdstatic.com/mda-pi8hginfpu0srhru/720p/h264/1694269051746088241/mda-pi8hginfpu0srhru.mp4
顾少你的老婆找到了,https://vd3.bdstatic.com/mda-pi72zwkq28kxci62/sc/cae_h264/1694217756500480165/mda-pi72zwkq28kxci62.mp4
魔幻手机之重回2003,https://vd3.bdstatic.com/mda-pi72kjkh3bibqvfc/sc/cae_h264/1694215643936724842/mda-pi72kjkh3bibqvfc.mp4
离婚后冷爷他知错了,https://vd3.bdstatic.com/mda-pi6scbgcwrd7r2zr/sc/cae_h264/1694210199261123829/mda-pi6scbgcwrd7r2zr.mp4
迟来的心动,https://vd3.bdstatic.com/mda-pi5r0s19mnefdk88/sc/cae_h264/1694074495316287456/mda-pi5r0s19mnefdk88.mp4
巾帼神豪(95集),https://txmov2.a.kwimgs.com/bs3/video-hls/5228679273869081590_hlsb.m3u8
绝世医仙(93集),https://txmov2.a.kwimgs.com/bs3/video-hls/5251760220360466164_hlsb.m3u8
上门豪婿(94集),https://txmov2.a.kwimgs.com/bs3/video-hls/5226145996125317106_hlsb.m3u8
美女校花的风水大师(40集),https://txmov2.a.kwimgs.com/bs3/video-hls/5258797093473252232_hlsb.m3u8
富豪老公同学会(114集),https://txmov2.a.kwimgs.com/bs3/video-hls/5222205348866063631_hlsb.m3u8
狂飙风暴(88集),https://vd4.bdstatic.com/mda-pe9mfch4kg5gyf3s/sc/cae_h264/1683788994589438440/mda-pe9mfch4kg5gyf3s.mp4
都市最强继承者(100集),https://txmov2.a.kwimgs.com/bs3/video-hls/5232619920811866768_hlsb.m3u8
赘婿归来(101集),https://vd3.bdstatic.com/mda-pevb0xbdxkqavidi/720p/h264/1685433516028971486/mda-pevb0xbdxkqavidi.mp4
我有神仙微信群(81集),https://txmov2.a.kwimgs.com/bs3/video-hls/5189272774546429629_hlsb.m3u8
重生到卖女儿那天,https://vd4.bdstatic.com/mda-pd58y1bca4eqwdy1/sc/cae_h264/1680765030478096611/mda-pd58y1bca4eqwdy1.mp4
女老板的反击(100集),https://vd2.bdstatic.com/mda-pd63rfuh803uepji/720p/h264/1680837193888969534/mda-pd63rfuh803uepji.mp4
巨富同学会(100集),https://txmov2.a.kwimgs.com/bs3/video-hls/5238249422970059143_hlsb.m3u8
圣医女皇(100集),https://txmov2.a.kwimgs.com/bs3/video-hls/5205598323687222877_hlsb.m3u8
天骄医婿(102集),https://vd4.bdstatic.com/mda-pe7qsxras8c7mpx0/sc/cae_h264/1683613152590699530/mda-pe7qsxras8c7mpx0.mp4
霸爱为奴(100集),https://vd4.bdstatic.com/mda-pe89k65is9xdwqen/sc/cae_h264/1683667911711262079/mda-pe89k65is9xdwqen.mp4
都市逍遥神医(93集),https://vd4.bdstatic.com/mda-pe9f7u2qj8qi7r04/720p/h264/1683716481871424650/mda-pe9f7u2qj8qi7r04.mp4
桃运无双(105集),https://vd3.bdstatic.com/mda-pefd0weush6t8bnx/sc/cae_h264/1684372449915872808/mda-pefd0weush6t8bnx.mp4
双面狂少(83集),https://vd3.bdstatic.com/mda-pefcbtfwri86zgq2/sc/cae_h264/1684371888342144388/mda-pefcbtfwri86zgq2.mp4
圣王(100集),https://vd3.bdstatic.com/mda-peeuh83guh46806g/sc/cae_h264/1684290562908896240/mda-peeuh83guh46806g.mp4
偏执总裁的追妻路(93集),https://vd3.bdstatic.com/mda-peesbtb1ji4i07gy/sc/cae_h264/1684280053431635965/mda-peesbtb1ji4i07gy.mp4
美女总裁回乡过年(97集),https://vd3.bdstatic.com/mda-pedtu8rsvhbj5pdx/sc/cae_h264/1684177990536629531/mda-pedtu8rsvhbj5pdx.mp4
天龙战神(94集),https://vd3.bdstatic.com/mda-pefi3w616b8ujr88/720p/h264/1684243271973602840/mda-pefi3w616b8ujr88.mp4
历少强势锁婚(100集),https://vd3.bdstatic.com/mda-pegcxruwk0cxswv8/720p/h264/1684317268225808680/mda-pegcxruwk0cxswv8.mp4
仙武帝尊(78集),https://vd3.bdstatic.com/mda-pejcehn295ndg53i/720p/h264/1684573445328231835/mda-pejcehn295ndg53i.mp4
无尽轮回游戏(90集),https://vd3.bdstatic.com/mda-pejauu70iv7rhhim/sc/cae_h264/1684756063120101443/mda-pejauu70iv7rhhim.mp4
五万存款当首富(98集),https://vd3.bdstatic.com/mda-peitxirv8yxvmu8y/sc/cae_h264/1684702979466568288/mda-peitxirv8yxvmu8y.mp4
我在会所当赘婿(96集),https://vd3.bdstatic.com/mda-peir5pkh2d6rir68/sc/cae_h264/1684702706339253199/mda-peir5pkh2d6rir68.mp4
《龙年大吉之衣锦还乡》,https://ikcdn01.ikzybf.com/20240219/DSEJuK59/index.m3u8
功夫医圣(80集),https://vd2.bdstatic.com/mda-pe9qn6dabh5ppc6w/720p/h264/1683740514742579726/mda-pe9qn6dabh5ppc6w.mp4
古董风云(50集),https://vd2.bdstatic.com/mda-pe9r3itz1thdrm9i/sc/cae_h264/1683796097451505310/mda-pe9r3itz1thdrm9i.mp4
九境霸主(113集),https://vd2.bdstatic.com/mda-peasdcyvjkdf5nn6/720p/h264/1683833678473112939/mda-peasdcyvjkdf5nn6.mp4
天才萌宝傲娇妻,https://vd3.bdstatic.com/mda-pg54prq7iief96za/cae_h264/1688647056830051477/mda-pg54prq7iief96za.mp4
本宫要你好看,https://vd3.bdstatic.com/mda-pg54pjtymbbskr6x/360p/h264/1688615253650776568/mda-pg54pjtymbbskr6x.mp4
逍遥阎君,https://vd3.bdstatic.com/mda-pg54ph80hs9v9urb/360p/h264/1688615178175086103/mda-pg54ph80hs9v9urb.mp4
总裁夫人竟是全能大佬,https://vd3.bdstatic.com/mda-pg54p6y22e6qpgve/cae_h264/1688645365941237291/mda-pg54p6y22e6qpgve.mp4
败家千金要退婚,https://vd3.bdstatic.com/mda-pg4fe59chriab51i/360p/h264/1688555693839206082/mda-pg4fe59chriab51i.mp4巾帼神豪(95集),https://txmov2.a.kwimgs.com/bs3/video-hls/5228679273869081590_hlsb.m3u8
绝世医仙(93集),https://txmov2.a.kwimgs.com/bs3/video-hls/5251760220360466164_hlsb.m3u8
上门豪婿(94集),https://txmov2.a.kwimgs.com/bs3/video-hls/5226145996125317106_hlsb.m3u8
美女校花的风水大师(40集),https://txmov2.a.kwimgs.com/bs3/video-hls/5258797093473252232_hlsb.m3u8
富豪老公同学会(114集),https://txmov2.a.kwimgs.com/bs3/video-hls/5222205348866063631_hlsb.m3u8
狂飙风暴(88集),https://vd4.bdstatic.com/mda-pe9mfch4kg5gyf3s/sc/cae_h264/1683788994589438440/mda-pe9mfch4kg5gyf3s.mp4
我有神仙微信群(81集),https://txmov2.a.kwimgs.com/bs3/video-hls/5189272774546429629_hlsb.m3u8
重生到卖女儿那天,https://vd4.bdstatic.com/mda-pd58y1bca4eqwdy1/sc/cae_h264/1680765030478096611/mda-pd58y1bca4eqwdy1.mp4
巨富同学会(100集),https://txmov2.a.kwimgs.com/bs3/video-hls/5238249422970059143_hlsb.m3u8
圣医女皇(100集),https://txmov2.a.kwimgs.com/bs3/video-hls/5205598323687222877_hlsb.m3u8
霸爱为奴(100集),https://vd4.bdstatic.com/mda-pe89k65is9xdwqen/sc/cae_h264/1683667911711262079/mda-pe89k65is9xdwqen.mp4
都市逍遥神医(93集),https://vd4.bdstatic.com/mda-pe9f7u2qj8qi7r04/720p/h264/1683716481871424650/mda-pe9f7u2qj8qi7r04.mp4
都市药王医仙(61集),https://vd4.bdstatic.com/mda-pe9p7t88g3zwkn0w/sc/cae_h264/1683812630561498452/mda-pe9p7t88g3zwkn0w.mp4
央卫,#genre#
CCTV1,http://kxrj.site:998/123/mg.php?id=cctv1
CCTV2,http://kxrj.site:998/123/mg.php?id=cctv2
CCTV3,http://kxrj.site:998/123/mg.php?id=cctv3
CCTV4,http://kxrj.site:998/123/mg.php?id=cctv4
CCTV5,http://kxrj.site:998/123/mg.php?id=cctv5
CCTV5+,http://kxrj.site:998/123/mg.php?id=cctv5p
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV6,http://kxrj.site:998/123/mg.php?id=cctv6
CCTV7,http://kxrj.site:998/123/mg.php?id=cctv7
CCTV8,http://kxrj.site:998/123/mg.php?id=cctv8
CCTV9,http://kxrj.site:998/123/mg.php?id=cctv9
CCTV10,http://kxrj.site:998/123/mg.php?id=cctv10
CCTV11,http://kxrj.site:998/123/mg.php?id=cctv11
CCTV12,http://kxrj.site:998/123/mg.php?id=cctv12
CCTV13,http://kxrj.site:998/123/mg.php?id=cctv13
CCTV14,http://kxrj.site:998/123/mg.php?id=cctv14
CCTV15,http://kxrj.site:998/123/mg.php?id=cctv15
CCTV17,http://kxrj.site:998/123/mg.php?id=cctv17
CT4欧洲,http://kxrj.site:998/123/mg.php?id=cctv4o
CT4美洲,http://kxrj.site:998/123/mg.php?id=cctv4a
CGT纪录,http://kxrj.site:998/123/mg.php?id=cgtnjl
CGT西语,http://kxrj.site:998/123/mg.php?id=cgtne
CGT阿语,http://kxrj.site:998/123/mg.php?id=cgtna
CGT法语,http://kxrj.site:998/123/mg.php?id=cgtnf
CGT俄语,http://kxrj.site:998/123/mg.php?id=cgtnr
家庭影院,http://kxrj.site:998/123/mg.php?id=chcjt
动作电影,http://kxrj.site:998/123/mg.php?id=chcdz
发现之旅,http://kxrj.site:998/123/mg.php?id=fxzl
老故事台,http://kxrj.site:998/123/mg.php?id=lgs
中学生台,http://kxrj.site:998/123/mg.php?id=zxs
东方卫视,http://kxrj.site:998/123/mg.php?id=dfws
吉林卫视,http://kxrj.site:998/123/mg.php?id=jlws
青海卫视,http://kxrj.site:998/123/mg.php?id=qhws
陕西卫视,http://kxrj.site:998/123/mg.php?id=sxws
湖北卫视,http://kxrj.site:998/123/mg.php?id=hubws
江西卫视,http://kxrj.site:998/123/mg.php?id=jxws
江苏卫视,http://kxrj.site:998/123/mg.php?id=jsws
广东卫视,http://kxrj.site:998/123/mg.php?id=gdws
湾区卫视,http://kxrj.site:998/123/mg.php?id=dwqws
海南卫视,http://kxrj.site:998/123/mg.php?id=hinws
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
中国教育,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022823801/timeshift.m3u8?delay=0&cdn=5202
四海钓鱼,http://kxrj.site:998/123/mg.php?id=shdy
江苏教育,http://kxrj.site:998/123/mg.php?id=jsjy
山东教育,http://kxrj.site:998/123/mg.php?id=sdjy
游戏风云,http://kxrj.site:998/123/mg.php?id=yxfy
之江纪录,http://kxrj.site:998/123/mg.php?id=zjjl
杭州综合,http://kxrj.site:998/123/mg.php?id=hzzh
杭州明珠,http://kxrj.site:998/123/mg.php?id=hzmz
杭州生活,http://kxrj.site:998/123/mg.php?id=hzsh
杭州影视,http://kxrj.site:998/123/mg.php?id=hzys
杭州少体,http://kxrj.site:998/123/mg.php?id=hzse
嵊泗综合,http://kxrj.site:998/123/mg.php?id=ssxwzh
普陀电视,http://kxrj.site:998/123/mg.php?id=ptxwzh
高清大片,http://kxrj.site:998/123/mg.php?id=gqdp
经典电影,http://kxrj.site:998/123/mg.php?id=jdxgdy
军事大片,http://kxrj.site:998/123/mg.php?id=jsdp
热剧联播,http://kxrj.site:998/123/mg.php?id=rjlb
赛事经典,http://kxrj.site:998/123/mg.php?id=sszjd
体坛名汇,http://kxrj.site:998/123/mg.php?id=ttmlh
新片映厅,http://kxrj.site:998/123/mg.php?id=xpfyt
Y+剧场台,http://kxrj.site:998/123/mg.php?id=yjjc
熊猫频道高清,http://kxrj.site:998/123/mg.php?id=xmhd
熊猫频道1,http://kxrj.site:998/123/mg.php?id=xm1
熊猫频道2,http://kxrj.site:998/123/mg.php?id=xm2
熊猫频道3,http://kxrj.site:998/123/mg.php?id=xm3
熊猫频道4,http://kxrj.site:998/123/mg.php?id=xm4
熊猫频道5,http://kxrj.site:998/123/mg.php?id=xm5
熊猫频道6,http://kxrj.site:998/123/mg.php?id=xm6
熊猫频道7,http://kxrj.site:998/123/mg.php?id=xm7
熊猫频道8,http://kxrj.site:998/123/mg.php?id=xm8
熊猫频道9,http://kxrj.site:998/123/mg.php?id=xm9
熊猫频道10,http://kxrj.site:998/123/mg.php?id=xm10

CCTV1综合,http://182.92.109.190:1668/migu720/migu720.php?id=cctv1
